relationship,count
"('Jan Hooks', 'Rob Schneider')",20
"('Jan Hooks', 'Robert Downey Jr.')",6
"('Jay Mohr', 'Jim Belushi')",21
"('Jay Mohr', 'Julia Louis-Dreyfus')",18
"('Jay Mohr', 'Laurie Metcalf')",8
"('Jay Mohr', 'Martin Short')",24
"('Jay Mohr', 'Rob Schneider')",31
"('Jay Mohr', 'Robert Downey Jr.')",16
"('Jim Belushi', 'Julia Louis-Dreyfus')",31
"('Jim Belushi', 'Laurie Metcalf')",16
"('Jim Belushi', 'Martin Short')",48
"('Jim Belushi', 'Rob Schneider')",30
"('Jim Belushi', 'Robert Downey Jr.')",25
"('Julia Louis-Dreyfus', 'Laurie Metcalf')",32
"('Julia Louis-Dreyfus', 'Martin Short')",52
"('Julia Louis-Dreyfus', 'Rob Schneider')",31
"('Julia Louis-Dreyfus', 'Robert Downey Jr.')",41
"('Laurie Metcalf', 'Rob Schneider')",11
"('Laurie Metcalf', 'Robert Downey Jr.')",19
"('Martin Short', 'Rob Schneider')",34
"('Adam Sandler', 'Christopher Guest')",30
"('Adam Sandler', 'Gilbert Gottfried')",28
"('Adam Sandler', 'Harry Shearer')",31
"('Adam Sandler', 'Jason Sudeikis')",57
"('Adam Sandler', 'Jim Belushi')",32
"('Adam Sandler', 'Joe Piscopo')",14
"('Adam Sandler', 'Kate McKinnon')",33
"('Adam Sandler', 'Michael McKean')",40
"('Adam Sandler', 'Natasha Rothwell')",7
"('Ben Stiller', 'Christopher Guest')",32
"('Ben Stiller', 'Gilbert Gottfried')",28
"('Ben Stiller', 'Harry Shearer')",28
"('Ben Stiller', 'Jason Sudeikis')",36
"('Ben Stiller', 'Joe Piscopo')",10
"('Ben Stiller', 'Kate McKinnon')",29
"('Ben Stiller', 'Michael McKean')",40
"('Ben Stiller', 'Natasha Rothwell')",6
"('Billy Crystal', 'Chris Rock')",76
"('Billy Crystal', 'Christopher Guest')",46
"('Billy Crystal', 'Gilbert Gottfried')",33
"('Billy Crystal', 'Jason Sudeikis')",39
"('Billy Crystal', 'Joe Piscopo')",31
"('Billy Crystal', 'Kate McKinnon')",25
"('Billy Crystal', 'Michael McKean')",42
"('Billy Crystal', 'Natasha Rothwell')",6
"('Chris Rock', 'Christopher Guest')",31
"('Chris Rock', 'Gilbert Gottfried')",38
"('Chris Rock', 'Jason Sudeikis')",49
"('Chris Rock', 'Jim Belushi')",31
"('Chris Rock', 'Kate McKinnon')",30
"('Chris Rock', 'Michael McKean')",39
"('Chris Rock', 'Natasha Rothwell')",6
"('Christopher Guest', 'Gilbert Gottfried')",18
"('Christopher Guest', 'Jason Sudeikis')",24
"('Christopher Guest', 'Jim Belushi')",24
"('Christopher Guest', 'Joe Piscopo')",14
"('Christopher Guest', 'Kate McKinnon')",12
"('Christopher Guest', 'Natasha Rothwell')",4
"('Christopher Guest', 'Stephen Colbert')",17
