person,year_start,year_end,num_seasons_total,num_seasons_writer,num_seasons_headwriter,num_seasons_actor,num_seasons_rep,num_seasons_featured,num_seasons_middle,num_seasons_weekend_update,num_episodes_weekend_updates,best_of,num_episodes_hosted,imdb_link,num_episodes_writer,num_episodes_actor,num_episodes_other,coefficient
Michaela Watkins,2008,2009,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm1143861/?ref_=fn_nm_nm_1,0,15,0,0.08795320547179046
Damon Wayans,1985,1986,1,0,0,1,0,1,0,0,0,0,1,https://www.imdb.com/name/nm0001834/?ref_=fn_nm_nm_1,0,11,2,0.08750413646850459
Patrick Weathers,1980,1981,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0915778/?ref_=fn_nm_nm_1,0,10,0,0.08732341357693832
Noël Wells,2013,2015,2,0,0,2,0,2,0,0,0,0,0,https://www.imdb.com/name/nm3644706/?ref_=fn_nm_nm_1,0,21,0,0.08977278553284707
Brooks Wheelan,2013,2014,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm5120390/?ref_=fn_nm_nm_1,0,21,0,0.08870895574561302
Kristen Wiig,2005,2012,7,0,0,7,6,1,0,0,0,0,4,https://www.imdb.com/name/nm1325419/?ref_=fn_nm_nm_1,0,139,7,0.11443241326732739
Casey Wilson,2008,2009,2,0,0,2,0,2,0,0,0,0,0,https://www.imdb.com/name/nm1988111/?ref_=fn_nm_nm_1,0,30,0,0.09090641094358091
Sasheer Zamata,2014,2017,4,0,0,4,3,1,0,0,0,0,0,https://www.imdb.com/name/nm3550886/?ref_=fn_nm_nm_1,0,74,0,0.1023262391927478
Alan Zweibel,1980,1980,1,5,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0958993/?ref_=fn_nm_nm_1,109,52,0,0.1057461956141782
Tim Kazurinsky,1981,1984,4,3,0,4,4,0,0,0,0,0,0,https://www.imdb.com/name/nm0443730/?ref_=fn_nm_nm_1,60,57,4,0.1087733914380928
Laura Kightlinger,1994,1995,1,1,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0452716/?ref_=fn_nm_nm_1,20,19,1,0.09089405979818695
Tim Robinson,2012,2016,4,3,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm4200503/?ref_=fn_nm_nm_1,68,21,0,0.03634321619165249
Tony Rosato,1981,1982,2,1,0,2,2,0,0,0,0,0,0,https://www.imdb.com/name/nm0711014/?ref_=fn_nm_nm_1,21,20,1,0.09720432989210226
Adam Sandler,1990,1995,5,3,0,5,2,1,2,0,0,1,1,https://www.imdb.com/name/nm0001191/?ref_=fn_nm_nm_1,60,87,10,0.11078026613222716
Rob Schneider,1989,1994,5,3,0,4,2,1,1,0,0,0,0,https://www.imdb.com/name/nm0001705/?ref_=fn_nm_nm_1,56,80,4,0.09225233623080328
Harry Shearer,1979,1985,6,2,0,2,1,1,0,0,0,0,0,https://www.imdb.com/name/nm0733427/?ref_=fn_nm_nm_1,38,38,2,0.04496914155655504
Martin Short,1984,1985,1,1,0,1,1,0,0,0,0,0,3,https://www.imdb.com/name/nm0001737/?ref_=fn_nm_nm_1,18,25,4,0.09649099298548158
Sarah Silverman,1993,1994,1,1,0,1,0,1,0,0,0,0,1,https://www.imdb.com/name/nm0798971/?ref_=fn_nm_nm_1,20,18,1,0.09076810141921653
Robert Smigel,1985,2008,23,22,0,2,0,2,0,0,0,0,0,https://www.imdb.com/name/nm0806912/?ref_=fn_nm_nm_1,425,107,140,0.10037527116286185
David Spade,1989,1996,7,3,0,6,3,1,2,0,0,1,2,https://www.imdb.com/name/nm0005450/?ref_=fn_nm_nm_1,57,79,44,0.10046980960592855
