title,imdb_link,credits_count,snl_alums,cast_count
2014 MTV Movie Awards,https://www.imdb.com/title/tt3578774/,7,"['David Koechner', 'Tracy Morgan', 'Andy Samberg', 'Adam Sandler', 'Fred Armisen', 'Tina Fey', 'Will Ferrell']",7
The View,https://www.imdb.com/title/tt0123366/,39,"['Joan Cusack', 'Laurie Metcalf', 'Colin Quinn', 'Molly Shannon', 'Eddie Murphy', 'Rachel Dratch', 'Colin Jost', 'Will Ferrell', 'Christopher Guest', 'Jay Pharoah', 'Kevin Nealon', 'Andy Samberg', 'Jay Mohr', 'Rob Schneider', 'Paul Shaffer', 'Darrell Hammond', 'Julia Louis-Dreyfus', 'Cheri Oteri', 'Michael Che', 'Seth Meyers', 'Billy Crystal', 'Amy Poehler', 'Maya Rudolph', 'Al Franken', 'Aidy Bryant', 'Anthony Michael Hall', 'Robert Downey Jr.', 'Jimmy Fallon', 'Tracy Morgan', 'Rob Riggle', 'Christine Ebersole', 'Gilbert Gottfried', 'Dennis Miller', 'Adam Sandler', 'Jane Curtin', 'Fred Armisen', 'Harry Shearer', 'Tina Fey', 'Michael McKean']",39
Revenge of the Mekons,https://www.imdb.com/title/tt1322362/,1,['Fred Armisen'],1
Hollywood Game Night,https://www.imdb.com/title/tt3037520/,10,"['Bobby Moynihan', 'Jay Pharoah', 'Rob Riggle', 'Taran Killam', 'Kevin Nealon', 'Molly Shannon', 'Amy Poehler', 'Cheri Oteri', 'Maya Rudolph', 'Fred Armisen']",10
Overheard,https://www.imdb.com/title/tt2180164/,5,"['Molly Shannon', 'Al Franken', 'Colin Jost', 'Fred Armisen', 'Michael McKean']",5
The 2013 Film Independent Spirit Awards,https://www.imdb.com/title/tt2739636/,4,"['Fred Armisen', 'Amy Poehler', 'Andy Samberg']",3
Late Show with David Letterman,https://www.imdb.com/title/tt0106053/,58,"['Joan Cusack', 'Laurie Metcalf', 'Jan Hooks', 'Chris Rock', 'Phil Hartman', 'Chris Kattan', 'Mike Myers', 'Will Ferrell', 'Christopher Guest', 'Jay Pharoah', 'Kevin Nealon', 'Jim Belushi', 'Andy Samberg', 'Jay Mohr', 'Rob Schneider', 'Paul Shaffer', 'Darrell Hammond', 'Julia Louis-Dreyfus', 'Chevy Chase', 'Cheri Oteri', 'Joe Piscopo', 'Michael Che', 'Mary Gross', 'Norm MacDonald', 'Seth Meyers', 'Billy Crystal', 'Ellen Cleghorne', 'Randy Quaid', 'Rich Hall', 'Chris Elliott', 'Abby Elliott', 'Bill Murray', 'Amy Poehler', 'Maya Rudolph', 'Al Franken', 'Don Novello', 'Chris Farley', 'Robert Downey Jr.', 'Jim Breuer', 'Jimmy Fallon', 'Tracy Morgan', 'Rob Riggle', 'Dan Aykroyd', 'Dennis Miller', 'Will Forte', 'Adam Sandler', 'Ana Gasteyer', 'Janeane Garofalo', 'Fred Armisen', 'Tina Fey', 'Michael McKean', 'Dana Carvey']",52
7 Minutes in Heaven,https://www.imdb.com/title/tt2127404/,6,"['Tracy Morgan', 'Andy Samberg', 'Amy Poehler', 'Fred Armisen', 'Seth Meyers', 'Tina Fey']",6
Attack of the Show!,https://www.imdb.com/title/tt0498878/,7,"['Rob Riggle', 'Horatio Sanz', 'Jay Mohr', 'Adam Sandler', 'Fred Armisen', 'Bill Hader', 'Will Ferrell']",7
Tina Fey: The Mark Twain Prize,https://www.imdb.com/title/tt1773089/,6,"['Jimmy Fallon', 'Tracy Morgan', 'Amy Poehler', 'Fred Armisen', 'Seth Meyers', 'Tina Fey']",6
